Id,ProductId,Score,Summary,Text,Sentimiento
1095,B0025ULYKI,5,No more stale chips. Cheap!,Mine came with stickers to sell them for $1.59 but they cost more like $1.25 so if for retail that is not much of a mark up. I bought these for myself so that doesn't really matter and they are cheap. Similar to Lay's but cheaper. Unlike other knockoffs these seemed to taste fresher and the convenient size minimizes stale chips. Great product. Great price.,Positivo
1440,B001E50UEQ,3,It's Fast.  It's Food.,"Are you familiar with the Hormel Compleats line?  If so, put this one in the middle of the pack.  It's not as good as the meatloaf or the meatballs/noodles in cream sauce.  It's better than the horribly taste-free chicken/dressing.  About even with the turkey.  Is that all I've tried?  I forget; but you get the point.  It's medium-Compleat.<br /><br />Are you just thinking about trying a Hormel Compleat for the first time?  OK, then just remember these reviews on Amazon -- particularly food reviews -- are all simply opinions of customers, no scientific analysis intended (I hope).<br /><br />Compleats are quick, easy (except for pulling the plastic off the top) and generally edible.  There's not a whole lot more to say about them.  I eat them because I'm an old guy living alone and too often I'm just lazy.  These do come in handy for a quick light meal.  ""Light"" depending on your appetite and the size of your tummy.<br /><br />This is a good one to lead off with if you're just now getting into Compleats.  Just note that, in my opinion, it's middle of the road for the line.  Not a lot of flavor; but goes down OK.",Neutral
1471,B0040WHJQM,3,not bad but not too much flavor,"first time I've tried this item, it's just ok, the broth is tasty but the noodles are pretty bland to me",Neutral
1519,B001LQNX8S,1,Disgusting,This coffee is absolutely horrendous.  I cannot believe it has any favorable reviews and agree with the other reviewer who believes positive reviews were written by employees.  I cannot stress enough how bad this coffee is.  It doesn't even taste like coffee.  The best way to describe it is a cup of chemicals.  I am really bummed I cannot returned this.  A complete waste of money.  It all went in the garbage.,Negativo
1697,B001RVFDOO,5,PopChips Are The Best!!,"These are the best chips invented for those who are trying to watch their calorie intake.  You get a lot of chips for minimal calories, and they taste great!!",Positivo
1828,B001RVFDOO,3,NOT worth the online order NOR is cheap $$$!,"I first tried the BBQ flavor at a restaurant, which was good. Then, I was carried away with the 1/2 fat part, which made me pay without realizing my mistake!<br /><br />The ""Salt & Pepper"" is OK! ONLY OK, after trying another one, I changed my mind!<br /><br />The ""BBQ"" is good, but not that good!<br /><br />The rest is pure trash! I did not like them, what-so-ever nor my other 4 friends!<br /><br />The price is wayyyyyy high, and not worth it for a small single serving, as others such as Utz is WAYYYY better and cheaper!<br /><br />3 starts is too much for this over-marketed, less of flavor, and over-priced snack!<br /><br />AVOID!<br /><br />2 stars off: bad flavors<br /><br />1 star off: PRICY AS SH**!, and not worth it!",Neutral
1867,B001RVFDOO,3,taste is perfect....,"I like to take my lunch to work and this is perfect to give me just enough chips that I can munch on with my lunch. I love the flavors and the packaging is perfect. Worth the buy!  The price is right, the flavors are just what they want, portion size is good thus it's a win, win situation for me and them.",Neutral
1922,B0016PKA1C,3,"keeps herbs fresh, looks nice--awkward to use","I've had a couple of these for a few years but find that I don't use them all that often because their size & design limits their usefulness. For bushy herbs like cilantro or parsley it only holds a small bunch, and it's difficult to keep the bunch together while you snap the lid back on. Since the bottom cup is so shallow herbs tend to flop out the front unless you lay the pod down when first filling it. It works great for asparagus, but only for small-ish bunches and if the spears aren't too tall.<br /><br />More often than not I simply use a canning jar + 1/2"" of water with a plastic bag over the top, which keeps the contents just as fresh and allows for easier access. These pods do look much nicer in the fridge than a bag-topped-jar, however, and the clear front makes it harder to forget what's in there.<br /><br />They are definitely well made and not prone to leaking or tipping over. And the little drain port is fun to use.<br /><br />But it only works for small bunches.",Neutral
2221,B002C4HZ00,1,False advertising!,The label is misleading. Cento actually sells two kind of San Marzano with the same label other than one that says D.O.P. certified. You will receive the one w/o the D.O.P. if you order from Amazon. I have made the mistake in the grocery store not realizing Cento sells ones are D.O.P and ones that are not and did not realize till it was too late. The true D.O.P. ones I have to say make the best sauce! You can taste the difference.,Negativo
2227,B002C4HZ00,3,"False and misleading product data, but they do taste good","The Amazon product info claims they are a certified organic product.  The picture claims DOP certified.  Neither appears to be true.  The cans I received were just ""certified"", and it didn't say by who.  There is no USDA Organic label either.  I also knew all these things before I bought them since they are well documented in the Amazon reviews already, so I wasn't surprised by what I received.<br /><br />On the plus side, they are better tomatoes than I can buy canned in the grocery stores locally, so I'm happy enough with them, and I used reward points from my Amazon.com Visa to buy them, so they were essentially free to me.<br /><br />Would I buy them again?  Maybe.  If couldn't get any of the Strianese D.O.P. certified San Marzano tomatoes, then yes I probably would.  As I said, they are tasty and I do like them better than what I can buy locally, but they aren't the top tomato when it comes to what I can mail order.",Neutral
2383,B0089SPDUW,5,Great Coffee,"Great coffee.  Rich, robust.  A coffee-lovers choice.  If you like French roast or Italian roast, you will like this coffee.",Positivo
2466,B002JX7GVM,5,"Lots of flavor, but not too sweet","Coconut Water with a splash of Pineapple<br /><br />This is refreshing!  It's sweet, but not too sweet.  The coconut flavor isn't pronounced, and the pineapple isn't so overpowering that it tastes like syrup.  It's clean tasting.  According to the packaging, ""it has five essential electrolytes, more potassium than a banana, no fat, no cholesterol, and no preservatives.""  There's a smidge of fiber, 0.8 g of protein and 16 g of sugars.  I suspect most of the sugar comes from the pineapple, but ""cane juice"" is one of the ingredients, too. The 8.5 fl oz carton comes to 75 calories.<br /><br />If you sign up for subscribe & save, it's less than $1 per carton.  Actually, the carton is the only thing I don't like about this drink.  It's sort of hard to drink directly from because there isn't any air getting let in when you drink, which makes a vacuum.  This was solved by pouring it into a glass.  *whew*<br /><br />This was good.  I will definitely get more, and I highly recommend this to people who like pineapple juice.",Positivo
2478,B002JX7GVM,3,"Smaller-than-usual package size, overly-sweet taste","My top line advice: If you want coconut water with a touch of pineapple, get the Vita Coco, not this one.<br /><br />Size: The size is 8.5 fl oz per package. I didn't pay close attention when ordering, and expected the larger, 11.5 oz size. Not a big deal, and was my fault, but it's a little too small to be useful.<br /><br />Taste: Ick. I love coconut water. I love pineapple juice. I love lightly flavored coconut water. This tastes like none of the above. The flavor is sickly sweet (ingredients included added sugar), and with none of the nice mellow coconut flavor of other coconut waters I've tried. Might as well be a processed kids drink.<br /><br />Alternatives: While I actually prefer O.N.E.'s regular, unflavored coconut water over other brands, the Vita Coco coconut water with a splash of pineapple is far superior to this one. It comes in a larger package, doesn't have added sugar, has more vitamins and nutrients (this one is diluted with sugar water), and tastes like you're drinking it fresh on the beach. This one is just...not great.",Neutral
2680,B0016FY6H6,2,I wouldn't bother.,"If you plan on making a pitcher of tea, forget it, it takes 4 packs for 64 oz and is still very, very weak, and it must be consumed in 12 hours (so they say) so you're much better off brewing your own.<br /><br />However if you're idea is to ""stash"" this in your purse (for the ladies) or pocket (for men which would be weird) it's just okay.  One packet does little for flavor with 16 oz of water so you'd have to use two, and WHo drinks just 16 oz of water when out to eat or something of that nature?  Also, with only 8 packets (the raspberry pom) in a box, that gives you 4 16 oz drinks for $3.  Not sure it's worth it at all, I'd rather drink lemon water when out than this, equally as bland but free.",Negativo
2682,B0016FY6H6,2,mona lisa,This was a big disappointment. There was no raspberry or pomegranate flavor to this. The color is green and not very appealing to look at. However it does work as a great antioxidant.,Negativo
2726,B003NDA970,3,dissappointed,"I was disappointed.  I thought being Amish and according to the advertising that it would be exceptional.  But it's just popcorn, no better than others I've purchased.  So, so. I would not buy it again.",Neutral
2742,B003NDA970,2,This is not hull-less popcorn! Or even close.,"Bought 6lbs of this popcorn based on reviews that the hulls are softer on this Baby White than on regular popcorn.  Not only are the hulls just as tough as regular popcorn, the corn pops up so tiny that it's about 1/3 hull, 2/3 popped corn per kernel! I was hoping to use this as a healthy snack for my kids who love popcorn but not the hulls.<br />I popped this using every tip I could find on the internet; all experiments still resulted in a tough hull.",Negativo
2799,B000J2DQ46,3,Best canned Clam chowder I've ever had,"...........but still not that great. It's bland. Even when I added salt, pepper, milk, and butter, it didn't taste like the best I've had. But at least it's edible, unlike every other canned clam chowder out there. If I can find a way to make this taste better than I'd love it. It's the best CANNED clam chowder I've ever had, but it's not that great. The clams taste good.<br /><br />EDIT: I had a 2nd can and I made it today, I added only a little bit of milk and I added NO salt, pepper, or butter, and it actually tastes a lot better than when I did. So I suggest adding nothing but some milk or cream to this soup. It's still not the best I've ever had though.",Neutral
3098,B001IZIC7E,5,Great for Little Ones,"We first tried this because our toddler went through a picky-eater phase. She loved these! They are crunchy and small enough for her to pick up. I love them because they are organic and a veggie that she actually asks for. I mainly give them to her right out the package but I've also mixed them into scrambled eggs, which she really likes too.",Positivo
3951,B006FX6UKU,3,The cat's like...,"...however, for the price and additional shipping cost (if not receiving that free), I would not say this is a such a good value. Not sure what makes the tuna more pricey than something like the freeze-dried salmon. If these were the only treats available to the cats, they likely would not last even one week in this small amount. In the future, I'd be more apt to open up a 69-cent can of tuna, which they are just as fine with.",Neutral
3962,B005HO0ARM,5,pleased,"I just started using this product so I think it is too soon to rate; however, the order arrived very quickly.",Positivo
4009,B00110FN28,2,Bad flavor combination,"I purchased these thinking they would just be ordinary oatmeal raisin cookies. Wrong! I like chocolate chip and I like oatmeal raisin but these combination cookies just don't work well together. I wish I had read the item listing more carefully. Even my kids said ""Blech!"".",Negativo
4279,B004391DK0,1,"Sugar,sugar,sugar","Second ingredient is SUGAR! Need I say more? Make your own bisquit mix, it's super easy!",Negativo
4366,B004391DK0,5,best pancakes!!!,This mix makes the most delicious pancakes! My gluten eating family wanted mine instead of theirs! I have Also make sausage balls and biscuits for biscuits and gravy with it! So Good!,Positivo
4637,B000FFRY3G,1,These are English muffins??,"If you are looking for  English muffins - go to the grocery store and buy them.  These do not even resemble English muffins and are tasteless.  However, if you are on a restricted diet (wheat flour, soy, dairy, gluten,etc.) these might be for you - check the list of ingredients.  I didn't care for them at all.",Negativo
4929,B000FYYOZI,3,O.K. taste. My wife hates the smell.,"Buffalo Bills Premium Snacks<br /><br />I realize that taste is an individual thing, but I thought I'd share my thoughts on these products.<br /><br />First, customer service is excellent.  I've always gotten exactly what I ordered in a very timely manner.<br /><br />So far I've ordered the following products:<br /><br />1) Buffalo Bills 2.1lbs Mild Short Shots<br /><br />2) Buffalo Bills 2.1lbs Hot Short Shots<br /><br />The first two short shots are very similar to Slim Jim's, just not individually wrapped, I just put them in a zip lock bag and find them very convenient to munch on( about a quarter pound per bag.<br /><br />3) Buffalo Bills 1.2lb Extra Smokeys<br />These are very smokey, but a little too dry for my taste.<br /><br />4) Buffalo Bills 16oz Premium Hickory Beef Jerky Pieces (random size<br />Taste great if you are a jerky lover.<br /><br />5) Buffalo Bills 2.1lb Pepperoni  Short Shots<br />Probably the closest to Slim Jim's of all the short shots<br /><br />6) Buffalo Bills 2.1lbs Honey Strung<br />O.K. taste.  My wife hates the smell.  My Brother doesn't care much for them either.<br /><br />All- in- all, I highly recommend these products (in the order listed) and this company.<br /><br />Gunner  January, 2010",Neutral
5030,B001EO6BCC,1,do not buy these,most of the nuts in these bags were so old they had turned black totally worthless will never order again,Negativo
5158,B0031YJ38W,3,still looking for breakfast,"I started out thinking they were OK, a little more substance than the breakfast bar from Whole Foods.  But after I ordered a 12-pack (I didn't realize it was 12 boxes of 8), and had eaten them for a couple of weeks as I was flying out the door, I realized they were not really very tasty and kind of dry.",Neutral
5305,B004XMIRU6,3,Good but very mild,"I enjoyed my 1st cup very much.  The aroma was heady and the flavor was pleasantly mild.  But, ultimately, it is too mild for my daily morning ""kick"". I'll be going back to my Lavazza mornings when this is gone.",Neutral
5314,B007Z3MST6,5,Kill Cliff Sports Recovery Drink,"The best thing I like about this sports drink, is it's not an energy drink. Low calories (15) and less caffeine then 8 ounces of coffee.<br /><br />Plethora of natural anti-inflammatory ingredients, which mitigates aches and pains. And it's not necessary to take over the counter Acetaminophen when you have this.<br /><br />When I first had some, I felt different. Not a amp different, rushed. Just different; scared me a bit. 3 days later I tried it again. The feel different was the pain level going from the constant 8-9 to a 6 (which is manageable for me). The feel difference, was me feeling better.<br /><br />This is giving me the 4-5 year window I need before I have to get my neck and spine fused (again).<br /><br />At our house now, we have at least 3 cases and this month, it is 4.",Positivo
5325,B000BYLQW6,5,Vitakraft carob drops,I found these at a local pet store and couldn't locate them again.  Great price and dogs love them.  I rec'd my shipment quickly with no problems.,Positivo
5412,B00622CYVS,3,some jars went bad,"I did like this product until some jars I found black mold on the inner lids.<br /><br />I read other reviews, but I thought it must've been a bad batch.  I was wrong.<br /><br />Earth's Best used to be very good. So I canceled my next Subscribe and Save order.  Then I feedback cancel reason to Amazon.",Neutral
5533,B002Y7520K,1,Not NEARLY as strong as claimed!,"In the attempt to make blueberry cake for my brother, I used the WHOLE bottle and STILL didn't have a blueberry cake.  I added about half the bottle to the cake mix (white cake--NOT vanilla), and the other half to the frosting (white frosting--NOT vanilla) and it still only had a HINT of blueberry flavor.  I was completely disappointed in all the time, effort and money spent making it, and it barely tasted blueberry.  I would have thought that using the WHOLE bottle would have made a blueberry flavor.  I guess I will have to see if I can find actual blueberry extract and not blueberry FLAVORED extract.  Will not be wasting my money on this again.  :(",Negativo
5539,B0049M7LES,4,Good Popcorn,"I really liked this popcorn, and the price is much better than purchasing at a regular supermarket.  If you have at least a 1,000 watt microwave, it is best to use Power level 7 (70%) to start with, and set a timer for one minute until you arrive at the best power level and time for your particular microwave.  Otherwise, smoke or worse may lead you to believe this is a bad product.",Positivo
5650,B000EUJLHE,5,Yummo,once I tried these I was hooked. good healthy food that tastes good alone or with tuna or seafood salad. light crispy and melts in your mouth.,Positivo
5727,B003TIVBSU,5,High Qaulity at an Excellent price,"I am a professional chef and specialize mostly in pastry, cakes, and desserts. It plays hell with my diabetes but I just love creating some delicious dessert for friends when we have small gatherings.<br /><br />I usually buy vanilla beans in Tijuana, Mexico because I can get good quality at a decent price. By that I mean the beans tend to be supple, shiny, and aromatic. By ""decent price"" I mean it usually costs me around $1.50 to $2.00 per piece.<br /><br />When I saw this half-pound package at such a low price I was skeptical but I figured the $25 would not be a big risk and if they were bad I can always return them. I ordered on Jan 11 and got them Jan 13. Free two-day shipping being another great feature of my Amazon Prime membership which I now believe is an excellent value.<br /><br />The beans are very high quality. They are ""Gourmet Bourbon"" which means about 30% moisture (a good thing) and they are shiny and nicely oily (you want the oily surface as that is one part where a lot of flavor is located. The other part is in the seeds and that is the reason the bean is split and the seeds scrapped when used).  These beans are very fresh as shown by their flexibility (as beans grow old they dry out and get brittle- still usable but not as good).  They come sealed in a vacuum bag and that is inside a zip bag. Even through the double packaging the scent is very noticeable and complex.<br /><br />This is a large quantity of beans. If you are not going to use them rapidly I recommend separating into two or three bean lots and vacuum packing those. For optimal shelf-life I keep mine in a wine refrigerator (it gets cool but not cold) where I keep my 20 or 30 pounds of various chocolates.<br /><br />This is an excellent deal on good quality. I just can't figure out how they manage to make a buck on this one!",Positivo
5787,B003TIVBSU,5,What a deal!,"To purchase this many vanilla beans for the price is great.<br />I've not split any of them yet, but they look nice and plump<br />the way a good bean should look. I have them all soaking in<br />a big jar of vodka to make vanilla. In six months, I should have<br />some pretty good quality vanilla, and will still be able to use<br />the vanilla beans for other things.",Positivo
5931,B001O2IX8E,1,"rotten, moldy food = health risk","I ordered a flat of food (they were on sale) that contained Chicken Apple Compote Dinner. It contained 3 of this variety and he liked the first one but the others, although properly sealed, were solid and moldy and stinky.<br />One of the Turkey dinners in the flat was also improperly sealed; the lid popped. We were lucky because I just happened to check that one. Now I'm so paranoid that I check all of them several times. I called Earth's Best and they assured me that they haven't had this problem before and that I shouldn't worry about it. I'm so suprised that this got passed QA/QC inspection at a baby food manufacturer. Why would a company take the risk of bad publicity when baby food manufacturers rely so much on a reputation of safety?!<br /><br />We also recently opened 5 other jars in this flat after my son refused to eat them and realized that they were rotten.  3 of them were completely solid and domed at the top!  We poked a toothpick down to the bottom of the jar and it was dry throughout.  Shortly after eating his last dinner of this box, my son started vomiting and refused to eat.  We have contacted the USDA about this.  If this happens to you, please same your jars so you can give them the information they need.  It may prevent other babies from getting sick.<br />I'll never buy anything from Earth's Best again!",Negativo
6009,B00196497O,5,Excellent product,"The capsules are easy for my wife to take, they really help her crohn's disease. After reviewing and reasearching we found that hemp seed oil helps crohn's disease. She has tried all the prescription meds which if you read the after affects on them they are worse than the crohn's disease. This product has really helped her from having to many episodes or being sick as often.",Positivo
6185,B000UOFW9K,3,Awesome Taste but....,I received my 2 cases of Rice Works and the chips are awesome tasting and a great price BUT in every single bag (24) the chips were crunched/smashed into little pieces so i guess I have 24 bags of salad toppers or ..... but not chips.,Neutral
6358,B001AW9PTO,1,Very misleading!!!!,"The Jack Link's 30 Jerky Strips were verrrryyyy SKINNY! Some were only about 1/8 inch wide and counted as one strip. If I had known this, I would NOT have ordered the beef jerky strips - tasty, but totally not worth the money!!!!",Negativo
6384,B000084EK9,5,Four cats love it.,"At 60 years old I have had the care of cats my entire life.  Presently have four cats, three of which were ""barn cats"" and one came out of the woods and adopted us.  These cats love and gobble up Friskies Pate varieties ""Mariner's Catch"", ""Sea Captain's Choice"" and ""Ocean Whitefish with Tuna"".  I also serve as a ""foster parent"" for the local pet shelter and find that these 3 varieties of food are the best tolerated and completely consumed of all varieties.  The ""Salmon"" pate is very rich and I use it only as a special treat.  Incidentally, my cats always reach great age on Friskies.  Our cat ""Kitten"" died at 23 years old. She jumped off of a high bed and severely injured her spine and at the time it happened the Vet asked what food we used all of those years.  It has always been Friskies...dry and wet pet foods.  I find it is the best value and maintains our pet's good health right to the end.  The youngest cat that has died in our care was 18 years old and I have have had 28 cats as permanent pets, and countless foster pets over the years.",Positivo
6388,B00161O1YS,1,Taste good but gave me gas =(,"These little taffy's are expensive. I think I paid around $11 for the pound. They taste good, but man do they give me gas. After eating about 3 my stomach would be rumbling for a few hours and I would have to pass gas a lot. My girlfriend wouldn't let me eat them before bed hahaha. There was never any pain involved, just gas. I know it was these doing it because we tested it over a few different days. I wouldn't eat the taffy some days and would be fine. All it took was a few pieces and an hour late the bubble guts would start.<br /><br />This information may be useful since its not on amazon. Sugar free does not = carb free. A 1 pound bag is 453g.<br /><br />From the manufacturer website:<br />ingredients: hydrogenated starch hydrolysate, partially hydrogenated soybean and/or coconut oil, acid combinations for flavor (citric acid and/or tartaric acid), egg albumin, salt, lecithin, sucralose, natural and artificial flavors, combinations of red 40, blue 1, blue 2, yellow 5, yellow6.<br /><br />Nutrition Facts<br />Serving Size (40g)<br /><br />Amount Per Serving<br />Calories  110  Cal from fat 20<br />  % Daily Value<br />Total Fat 2.5g  4%<br />Saturated Fat 0g  0%<br />Trans Fat 0g<br />Cholesterol 0mg  0%<br />Sodium  25mg  1%<br />Total Carbohydrate 28g  9%<br />Sugar 0g<br />Protein 0g",Negativo
6470,B000FNEX50,1,Just Terrible.,"We have a gluten free household of 5.  No one in our family likes these.  My children (9, 7, &5) are begging me to throw the box away - I think they are afraid I'll sneak one in their lunchbox.  The cookie crumbles leaving a dry mess of rice flour and hardish chewy fruity bits in your mouth.  Have a glass of water nearby if you try these.  I hate to leave a bad review, but there are way better gluten free options out there.<br /><br />(I won't throw the box away.  I'll pass it on to another gluten free family I know and let them form their own opinion.)",Negativo
6489,B000FNEX50,5,One of my favorites...,The berry vanilla is one of my favorite from Nana's.  I also like the chocolate munch when I am wanting something with a chocolate flavor.  They are dry amd crumble.  That doesn't bother me.  I have been gluten-free for five years and have tried near everything.  Nana's has become part of my weekly grocery list.  They are easy to take on the go.  I think these would be great for parents with allergic children because they are packaged for on the go.  It can be frustrating to be out and you suddenly get hungry and there is nothing gluten-free to be found.,Positivo
6523,B000QSMSM4,1,How many cans do you get?,"I'm sorry to hear about the difficulty in finding the details about the Hill's Science Diet Savory Chicken Entr&eacute;e Adult Cat Canned Food on our website.<br /><br />I checked our website and found that the item Hill's Science Diet Savory Chicken Entr&eacute;e Adult Cat Canned Food is currently only offered by the third party sellers on our website.<br /><br />Amazon Merchants and Marketplace sellers are independent, third-party sellers who offer a variety of new and used merchandise through Amazon.com. When buying from a third party, your order is fulfilled directly by the merchant. As a result, Amazon Merchants set their own shipping terms. In general, these charges reflect the handling costs for assembling and packaging each order, as well as shipping costs.<br /><br />Products listed for sale by Amazon Merchant should be identical to the new items sold by Amazon.com, with any differences noted in the description of the item's condition.<br /><br />When you shop with an Amazon Merchant their merchant's shipping terms will apply to your purchase. Rates, restrictions, and methods vary from merchant to merchant and are not set by Amazon.com. For instance, while some merchants will ship to international destinations, others do not.<br /><br />You can always view details of a merchant's rates and policies from the product detail page of an item you're interested in buying, and from the order form before you submit your order.<br /><br />As Amazon.com doesn't handle the shipping of Amazon Merchant items, you'll need to contact the specific Merchant with any questions you may have before ordering. They'll be happy to help answer your questions.",Negativo
6702,B001LG945O,3,Not what I expected,"I thought I would like this more than I do. Maybe it's my palate, but my first taste impression was pineapple, not orange or tangerine. The small portion size may be acceptable for an energy drink, but is not what I would call thirst-quenching. Not a good choice for anyone trying to control calories or carbs. On the plus side, it is sweet, but not too sweet and the level of carbonation is well-balanced.",Neutral
6706,B001LG945O,3,"Not too sweet, but not full juice taste","I don't like how so many bottled and canned drinks these days (even the low-calorie ones) are so sweet.  This was nicely not-too-sweet, but had a canned, not fresh juice flavor.  It is personal taste, but I didn't care for the 'processed' flavor.",Neutral
6783,B001LG945O,3,Great Surprise,"I want to start this review by stating that this is not the perfect balance between juice and carbonated drink I've ever had.  That said this is certainly a good alternative for those who love carbonated drinks but don't like some of the ingredients.  Switch has attempted to address this concern and I feel it's a step in the right direct.  This is an Orange Tangerine flavored juice that is carbonated but without added sugar, preservatives, corn syrup, or caffeine.  In other words this is about as natural as you can get without, you know, drinking real orange juice.<br /><br />The can is also thinner then a soda can so you're not getting as much liquid as you would a Pepsi or Coke.  This means there is less fat in each can, and the makers claim the product is glutton free.  It does have a bit of a weird aftertaste, but after a few sips it stops bothering you.  While not a perfect drink it's one I enjoyed and will likely pick up again in the future.",Neutral
6829,B001LG945O,3,"Unless you really want Vitamin C in your soda, not really worth it.","I liked the level of carbonation.  It was actually more highly carbonated than I was expecting, but didn't taste dry the way I would expect an artificial-sugar-free drink to taste with carbonation added.  I was hoping it would taste more ""orangey,"" but the tangerine is the more dominant flavor (along with apple, a common juice ""filler"").  Despite having ""no added sugar,"" however, there is still 34 grams worth of it in the small 8.3oz can.  Basically, other than having 100% of the daily value of Vitamin C, this drink could easily be replaced with a better tasting orange soda that is in a 12oz can and costs far less.  Unless you really like the taste, or you want to ensure your Vitamin C beverage stays fresh longer, I'd give this one a pass.",Neutral
6900,B001LG945O,2,"Too much sugar, too expensive","The Switch Orange Tangerine sounded delicious when I ordered it. I thought it would be very refreshing on these hot summer days. And it would be if the taste were better. Perhaps the other flavors might be better but the orange tangerine had a bad aftertaste. Stick with the real juice if you want that flavor. The sparkling juice idea is good, I liked the carbonation as it was refreshing.<br /><br />But the biggest drawback for me is the sugar. There was 34g of sugar in that little 8 oz. can. There is 40g in a 12 oz. can of Dr. Pepper. Way too much sugar.<br /><br />The other drawback for me is the price. I wouldn't buy it because it works out to be almost a dollar a can. If I'm going to pay that much, I would rather buy the regular juice (real, not reconstituted) in the store.",Negativo
7164,B004K30HO2,4,Delivery and condition only review,"I haven't had a chande to actually try the k-cups to see if they work as advertised.  However the order arrived on time and in excellent condition.  For this a gave the 4 star rating.  If the cups work as advertised, then this rating will jump to 5 stars.",Positivo
7406,B0002Q1X6C,2,No taste,Had no taste and after the heat of the dish it was on turned them to a leathery tecture. Better off buying the high price truffles.,Negativo
7634,B000TRFGGM,1,dissapointment,"i had a second plant to replace the first one. it to came in sad shape,<br />i should of went to a local nursery at least then i would of got a good plant.<br />dont waste your time with this vender.",Negativo
7688,B001E5DZTS,3,An adequate product,"I purchased this product in the hope of utilizing it to produce yogurt. The yogurt produced by this product was very thin and could not be thickened using only culture.<br /><br />From the producers website<br /><br />""Note:  Goat milk yogurt is very thin, almost like kefir. For a thicker consistency, add 1 packet of unflavored gelatin dissolved in some of the scalded goat milk....""<br /><br />The product has a distinct aroma. Not terrible, but was stronger than comparable fresh goat milk. The flavor of the milk was only acceptable.<br /><br />In a pinch this product will suffice, however; I would not personally recommend it for regular consumption.",Neutral
7833,B001A47SLE,3,Strange...,"I like the taste, but the store does not always has this.  Some-how it tastes different from the one in the store, much weaker caffeine and aroma...",Neutral
8058,B002PNGY28,3,"Healthy, but not really tasty","I bought these for my cat and if I give them to him, he'll eat them, but it's not the type of treat he'll do tricks for or run over to eat. It's a healthier alternative to other treats, but I wouldn't buy them again because my main point of buying treats is to train my cat to do tricks or reward him for good behavior. These treats simply don't entice him enough to really be a treat.",Neutral
